1787536024,heavy-coupon-api-1,24.43%,370.4MiB / 1GiB
1787536024,heavy-grafana-1,0.09%,110.9MiB / 7.654GiB
1787536024,heavy-toxiproxy-1,0.01%,3.012MiB / 7.654GiB
1787536024,heavy-postgres-1,0.00%,69.8MiB / 1GiB
1787536024,heavy-redis-1,0.42%,9.336MiB / 256MiB
1787536024,heavy-mock-external-1,0.06%,177.7MiB / 1GiB
1787536024,heavy-prometheus-1,0.00%,49.65MiB / 7.654GiB
1787536029,heavy-coupon-api-1,45.46%,373.2MiB / 1GiB
1787536029,heavy-grafana-1,0.15%,110.9MiB / 7.654GiB
1787536029,heavy-toxiproxy-1,0.00%,3.012MiB / 7.654GiB
1787536029,heavy-postgres-1,0.00%,69.8MiB / 1GiB
1787536029,heavy-redis-1,0.49%,9.336MiB / 256MiB
1787536029,heavy-mock-external-1,0.68%,177.7MiB / 1GiB
1787536029,heavy-prometheus-1,0.87%,49.66MiB / 7.654GiB
1787536033,heavy-coupon-api-1,27.39%,375.7MiB / 1GiB
1787536033,heavy-grafana-1,0.13%,110.9MiB / 7.654GiB
1787536033,heavy-toxiproxy-1,0.00%,3.012MiB / 7.654GiB
1787536033,heavy-postgres-1,0.02%,69.8MiB / 1GiB
1787536033,heavy-redis-1,0.42%,9.336MiB / 256MiB
1787536033,heavy-mock-external-1,0.07%,177.7MiB / 1GiB
1787536033,heavy-prometheus-1,0.05%,49.66MiB / 7.654GiB
1787536038,heavy-coupon-api-1,27.73%,380.9MiB / 1GiB
1787536038,heavy-grafana-1,0.42%,110.9MiB / 7.654GiB
1787536038,heavy-toxiproxy-1,0.00%,3.012MiB / 7.654GiB
1787536038,heavy-postgres-1,0.65%,69.8MiB / 1GiB
1787536038,heavy-redis-1,0.49%,9.336MiB / 256MiB
1787536038,heavy-mock-external-1,0.55%,177.8MiB / 1GiB
1787536038,heavy-prometheus-1,0.18%,49.66MiB / 7.654GiB
1787536042,heavy-coupon-api-1,35.56%,376.5MiB / 1GiB
1787536042,heavy-grafana-1,0.09%,110.9MiB / 7.654GiB
1787536042,heavy-toxiproxy-1,0.00%,3.012MiB / 7.654GiB
1787536042,heavy-postgres-1,0.00%,69.8MiB / 1GiB
